N-PSA,VNS1,VNS10,VNS30,B&BA,BN-PSA,BVNS30
0,0,0,0,0,0,0
10268,9699,9608,9591,18939,9908,9591
49396,48336,48191,48310,51359,48882,48364
64973,63735,63401,63416,67131,64408,63282
53903,53503,53158,53047,58873,53896,53075
47738,46980,46835,46814,50339,47542,46835
38817,38622,38401,38456,43110,39231,38442
53152,52294,51934,51928,55887,52935,51931
55475,54208,53997,53834,59073,55665,53864
35295,33786,33458,33338,44086,35449,33551
45591,44383,44259,44160,51341,44962,44177
29632,29127,29095,29079,40739,29293,29079
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
689,689,673,659,2525,862,659
1749,1697,1697,1697,2080,1701,1697
0,0,0,0,0,0,0
0,0,0,0,10,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
34,34,34,34,290,34,34
767,692,643,657,1323,704,594
40813,39137,38880,38797,53244,40148,38918
26468,26409,25878,25907,32390,26436,25878
35547,34765,34501,34488,42698,35771,34407
84594,84206,83455,83324,87948,84380,83297
47029,46223,46217,46101,50035,47006,46197
90488,88591,88114,88125,93520,88986,87918
37800,37151,37027,37081,43269,38212,37137
51721,51009,50777,50724,52643,51775,50780
48213,47072,46620,46529,53478,47817,46470
45725,44947,44636,44729,48578,45564,44639
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
17,17,0,0,508,0,0
0,0,0,0,0,0,0
1234,1199,1199,1199,2275,1199,1199
50163,48246,48094,48031,50273,48984,47944
33214,33138,32786,32788,37599,33495,32767
31466,31205,30697,30593,38735,31998,30573
68173,67463,66925,66959,71769,68704,66935
68591,67342,66930,66894,70268,67693,67119
59869,58384,58108,57959,61996,59061,58245
45406,44861,44556,44529,47380,45594,44599
43761,41871,42274,41846,48998,43410,42151
48095,46882,46827,46827,52025,47843,46802
40248,39596,39370,39259,48573,39755,39299
6875,6858,6858,6807,9515,6858,6789
7357,7218,7177,7177,10779,7447,7177
6692,6492,6492,6492,9957,6655,6492
5588,5588,5573,5573,7272,5573,5573
7292,7294,7164,7153,11040,7428,7153
7120,7048,7048,7037,10228,7182,7037
5492,5509,5467,5467,8758,5467,5467
8401,8165,8165,8165,11525,8314,8165
6820,6611,6611,6535,8981,6813,6611
6301,6276,6198,6198,9666,6301,6198
52015,51826,51627,51604,57327,52017,51604
49816,49269,48961,49018,58365,49682,48956
57553,56506,55898,55719,62498,57081,55828
53339,52782,52188,52138,59735,53219,52090
51196,49932,49876,49803,58345,50432,49805
50216,49695,49531,49497,61722,50299,49519
51290,50681,50645,50675,55853,51749,50524
49457,48745,48640,48571,58541,49378,48539
54338,53994,53606,53825,62538,54523,53615
53272,52659,52277,52192,58716,53530,52211
152147,149587,149176,148862,158780,151159,148683
160581,158726,158726,158011,169763,162631,158596
146905,146193,145472,145353,154294,148448,145551
148321,146891,145998,146288,157634,148351,146127
165046,162694,162204,162075,170844,164976,162395
152908,151272,150679,150775,164125,152983,150454
151451,148780,148780,148780,160048,152548,148522
161021,159225,158709,158727,169011,162131,158571
141654,138671,137453,137181,150173,139917,137433
148206,145622,144662,144213,157363,148890,144305
5998,5985,5985,5985,7620,5985,5985
7208,6935,6822,6822,9713,7086,6822
6134,6119,6076,6069,8350,6149,6076
5509,5599,5599,5507,7779,5636,5507
6422,6343,6343,6343,9270,6513,6343
5419,5273,5273,5270,8162,5326,5270
7273,7003,6930,6930,8693,7286,6927
7978,7837,7755,7755,10743,8227,7751
6563,6515,6477,6477,9276,6569,6477
6986,6995,6850,6850,10077,7044,6850
57871,57457,57457,57410,65063,58079,57469
58800,58241,57436,57366,68189,58637,57346
54726,53877,53877,53698,58728,55318,53584
55926,54979,54815,54750,62065,55785,54643
55637,54787,54787,54673,61619,56038,54633
59283,58418,58367,58381,62861,59241,58274
58098,57407,57135,57109,62102,57916,57005
64169,63010,62701,62840,72948,63743,62901
61050,60471,60282,60032,71813,60890,59978
52257,51110,50914,50960,58672,52463,50996
159044,157242,156465,156424,170688,160426,156297
163102,160267,159236,158928,168295,162967,158668
163619,161740,161039,161097,169734,163121,161090
150117,148170,147550,147782,153424,149740,147754
160693,158430,157948,157957,167787,161628,157648
155789,151046,150938,150521,166578,153871,150820
155380,151955,151658,151955,163876,156176,151873
150949,148407,147963,148079,156597,150149,147976
167820,164058,163934,162961,180747,168276,163923
159371,157323,156344,156275,169098,159403,156336
7177,7211,7157,7177,9121,7286,7155
7290,7133,7132,7132,12076,7134,7132
7712,7699,7603,7550,11216,7709,7622
6593,6568,6510,6514,8701,6540,6514
7067,6983,6924,6889,10458,7134,6889
7366,7376,7323,7323,9587,7424,7353
7108,6791,6790,6738,8250,7079,6759
7064,6831,6831,6789,12102,6938,6789
6619,6388,6388,6388,9027,6629,6388
6036,6015,5929,5854,8793,6139,5854
59340,59278,58745,58551,67404,59741,58548
55962,54849,54698,54553,60735,55521,54586
61332,60557,60314,59956,66397,61515,59751
54266,54198,54133,53795,58782,54602,53691
61260,60767,60662,60536,69330,62389,60711
57464,56158,55760,55679,67711,57148,55863
52381,51929,51650,51520,60206,51834,51419
53600,53535,52595,52593,60774,54111,52753
61320,59643,59537,59394,68503,60639,59372
60656,60455,59937,59697,64845,60530,60015
170990,168349,167338,167378,178208,171401,167544
166055,164174,163868,162643,174134,165473,162869
150292,148540,148401,148027,156385,150221,148114
164244,160932,160652,160666,170324,162549,160696
171188,168865,168382,166698,179125,170449,166774
156964,154291,154127,154107,163100,156922,154244
158909,156650,155585,155590,168034,159719,155210
159348,158295,157835,156848,166601,159826,157362
168407,166396,165982,165810,173494,170052,165909
156951,154721,154209,154621,165967,158235,154770
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
16005,16174,16174,15680,24033,15830,15687
13551,13343,13271,13247,22628,13643,13247
12974,12879,12744,12396,21399,12828,12388
9267,9159,9159,9159,13950,9267,9159
13610,13279,13263,13191,22570,13602,13219
11718,11707,11697,11627,18956,11871,11627
15474,15050,15010,15023,26643,15333,15010
12687,12398,12345,12345,19690,12992,12345
15307,15189,14709,14694,26851,15238,14694
18782,18256,18150,17754,34969,18431,17815
102814,100851,100262,100275,120969,103520,100446
113173,110831,110746,110239,138314,114091,111040
111735,108922,108827,108883,131420,112822,108478
105296,103005,103005,103005,130401,106060,102082
118510,116446,115791,114643,139556,119156,114547
114034,112102,111534,111606,130812,114556,111285
105802,104098,103946,103232,124902,107780,103041
131891,128908,128908,128908,146387,130874,128975
91888,89642,89642,88651,113236,93439,88837
114508,113263,113002,112625,140072,116937,112864
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
16097,15877,15764,15737,23558,16440,15831
12030,12030,11840,11840,20026,11840,11840
17019,16323,15871,15829,25169,16649,15839
15651,15527,15072,15086,22417,15438,15017
10083,10011,10007,10007,15148,10000,9998
20646,20093,20093,20003,38255,20970,19983
11731,11202,10658,10506,22339,11124,10574
16013,15774,15390,15328,23250,16215,15494
11855,11378,11246,11187,25187,11509,11130
13762,13481,13423,13423,22738,13618,13408
106110,100457,100457,99649,129744,103314,100456
113751,110447,110219,109591,138713,114289,109887
109713,107949,106264,106534,129855,108761,106737
113555,110630,110630,110039,135366,115206,110083
130917,128840,127998,126905,157235,131472,127818
117633,114037,114037,113225,141745,117054,113283
115825,114617,114586,113803,142143,116637,113711
131910,128087,127896,127061,143483,131881,127496
125018,122653,121462,121505,148618,125675,120983
87759,86348,86184,85969,112238,88930,86174
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
17513,16316,16080,16002,29979,16207,15926
8416,8524,8396,8402,12764,8604,8375
16363,16055,15627,15282,37674,16095,15424
12053,12149,11685,11740,16380,12025,11687
15607,15363,14880,14867,27917,15725,14904
11204,11595,10934,10874,15304,11969,10929
17449,17289,16636,16636,30484,17232,16634
14858,14753,14648,14555,21454,14911,14674
12671,12353,12335,12303,18747,12750,12303
19354,19095,18415,18431,28250,19901,18379
155517,150725,149416,149300,172745,158484,149122
113227,108816,108359,107903,143973,114166,108305
118863,115655,114272,114336,137082,118175,113792
116342,114208,113185,112623,130099,116632,113147
122283,119874,119429,119083,138845,123230,118104
106821,104265,104036,103052,126399,106467,103636
141105,137336,137336,136802,157241,142061,136858
124779,120973,120281,120362,144503,124255,120036
117316,114447,114041,113809,136615,116438,113764
125962,123297,123104,122581,140868,125493,122536
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
8191,7643,7429,7404,16806,8068,7374
0,0,0,0,0,0,0
3225,2571,2610,2502,9255,3653,2516
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
197,197,197,197,1126,197,197
27,0,0,0,18,0,0
0,0,0,0,0,0,0
92166,89890,88905,88878,109310,92405,88656
58273,57068,56405,56115,89234,58455,56411
98148,95061,95061,94877,109391,100012,94988
76961,74468,74406,74084,91433,76940,74034
107079,103854,103362,103073,124154,106619,103049
100780,95224,95224,95144,109880,99881,95281
88639,86636,86228,86203,98754,88286,86164
130153,127346,125105,124670,149340,130103,124878
79816,77541,76946,76930,94906,80261,76692
113012,109397,108377,108192,126153,111725,108312
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
252,252,252,252,420,354,252
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
53,52,52,52,88,52,52
0,0,0,0,0,0,0
1588,844,844,803,3504,804,803
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
117773,113117,113033,112640,124102,117381,112647
91079,87933,86955,87004,107412,91069,86924
109513,106579,106233,106231,119901,110580,105828
117511,114190,113828,113451,124800,116925,113305
105480,101505,100976,101019,121787,106740,100910
100493,97428,96606,96289,126018,99704,96183
116814,114497,113154,113381,122031,117814,112906
77493,74731,74731,74574,95787,78205,74808
118469,114124,114015,114124,131349,118888,113818
72185,68009,67759,67301,101566,71873,67441
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
703,651,651,648,2312,940,630
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2028,2024,2024,2024,2976,2116,2024
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
93439,91410,90603,90234,109714,94232,90140
84486,80784,80688,80610,104760,83839,80893
115217,112250,111484,110471,121356,114909,110816
101397,97857,97743,97857,110105,100573,97728
146716,142779,142570,142779,154331,145606,142832
104190,101847,100582,99871,113389,104093,99770
125654,123547,121769,121449,132528,125795,121091
191709,187317,187286,187317,198621,193007,187286
144813,140521,140521,139547,152517,143606,139644
70077,65385,64978,65206,95048,69475,65684
